Time,VUs   - sdkFxSendE2EMin 2025-10-14 14:04,Latency(p99)  - sdkFxSendE2EMin 2025-10-14 14:04,Throughput - sdkFxSendE2EMin 2025-10-14 14:04,Pod Termination
1760450680000,10,10.777687532249999,1.5544846883258199,
1760450685000,10,10.75071008475,1.4190687361419068,
1760450690000,10,10.7282288785,1.103898802248839,
1760450695000,10,10.68776270725,1.5526228235555064,
1760450700000,10,10.64280029475,1.646161843701265,
1760450705000,10,10.6203190885,1.464986815118664,
1760450710000,10,10.58884539975,1.2296341838303104,
1760450715000,10,10.543882987250003,1.5813953488372092,
1760450720000,10,10.521401780999998,1.542099311195641,
1760450725000,10,10.480935609750004,1.4064697609001404,
1760450730000,10,10.453958162250002,1.5299877600979193,
1760450735000,10,10.41076768583,1.5735641227380017,
1760450740000,10,10.391697549640002,1.8014199427784254,
1760450745000,10,10.36990310828,1.5146925174189638,
1760450750000,10,10.348108666920002,1.4292094685127288,
1760450755000,10,10.329038530730001,1.514080952861613,
1760450760000,10,10.3045197842,1.5921982286794707,
1760450765000,10,10.288173953179998,1.5048154093097914,
1760450770000,10,10.266379511820004,1.5828151498021483,
1760450775000,10,10.241860765290001,1.7721255081830503,
1760450780000,10,10.222790629100004,1.4099400775467041,
1760450785000,10,10.20099618774,1.4550392860607237,
1760450790000,10,10.18192605155,1.5101177891875566,
1760450795000,10,10.160131610189998,1.7445917655268668,
1760450800000,10,10.139963710099998,1.8556926099770767,
1760450805000,10,10.13502377255,1.5465246155167969,
1760450810000,10,10.13282824475,1.2142723706332896,
1760450815000,10,10.12733942525,1.382306477093207,
1760450820000,10,10.124046133550001,1.5580874476579998,
1760450825000,10,10.1202039599,1.4329805996472664,
1760450830000,10,10.116361786250001,1.4053402931138328,
1760450835000,10,10.11197073065,1.4207236218980868,
1760450840000,10,10.10648191115,1.7998200179982,
1760450845000,10,10.104286383349999,1.3860013860013858,
1760450850000,10,10.09879756385,1.3902681231380336,
1760450855000,10,10.09440650825,1.838047585009701,
1760450860000,10,10.0905643346,1.6565433462175594,
1760450865000,10,10.081259172550004,1.5562688454430502,
1760450870000,10,10.041946320950014,1.5499635302698762,
1760450875000,10,10.012461682250011,1.4313464880891524,
1760450880000,10,9.968234724199997,1.530612244897959,
1760450885000,10,9.938750085499994,1.6865302451090622,
1760450890000,10,9.894523127450007,1.4883905536812858,
1760450895000,10,9.855210275849988,1.588339717836121,
1760450900000,10,9.83063974360001,1.3322402131584343,
1760450905000,10,9.786412785549993,1.3884756520876722,
1760450910000,10,9.73727172105001,1.9263915644327285,
1760450915000,10,9.702872975899986,1.6574046992297946,
1760450920000,10,9.673388337199986,1.2536162005785922,
1760450921267,,,,proxy-zmw-inter-scheme-proxy-adapter-8486bb8f64-p7l6l killed
1760450925000,10,9.634075485599993,1.3639906469212786,
1760450930000,10,9.593997663680002,1.9039086123866054,
1760450935000,10,9.587112930799998,1.7640141121128967,
1760450940000,10,9.5832880792,1.2698412698412698,
1760450945000,10,9.577933286959999,1.3157894736842106,
1760450950000,10,9.570283583760002,1.6903649199562494,
1760450955000,10,9.564163821200001,1.7832375668714089,
1760450960000,10,9.55727908832,1.6888535664613549,
1760450965000,10,9.552689266399998,1.4423076923076923,
1760450970000,10,9.54580453352,1.6359472134365798,
1760450975000,10,9.53815483032,1.8327384971544323,
1760450980000,10,9.534329978719997,1.4743463731079223,
1760450985000,10,9.52668027552,1.5182186234817814,
1760450990000,10,9.521325483280002,1.5849338057057614,
1760450995000,10,9.508466577159995,1.6123831022250885,
1760451000000,10,9.48886852748,1.646937725167267,
1760451005000,10,9.469270477799988,1.543358734445838,
1760451010000,10,9.449672428120007,1.584001584001584,
1760451015000,10,9.432524134649993,1.4534883720930232,
1760451020000,10,9.455354367240005,1.3011710539485537,
1760451025000,10,9.441544583999999,1.480896435975911,
1760451030000,10,9.430803641479992,1.6506757453832663,
1760451035000,10,9.418528278600002,1.5500671695773485,
1760451040000,10,9.406252915719996,1.5527950310559007,
1760451045000,10,9.395511973200005,1.5256305939788446,
1760451050000,10,9.383236610320001,1.529675708749745,
1760451055000,10,9.372495667799992,1.6838796587337226,
1760451060000,10,9.361162222600003,1.6968925654894476,
1760451065000,10,9.353839535799999,1.5701487023182783,
1760451070000,10,9.346516848999997,1.4720765479804951,
1760451075000,10,9.3410248339,1.4190147982971821,
1760451080000,10,9.331871475399998,1.6168148746968471,
1760451085000,10,9.324548788599994,1.678008762934651,
1760451090000,10,9.316310765950002,1.705799719044752,
1760451095000,10,9.309903414999997,1.6057808109193097,
1760451100000,10,9.303496064050004,1.5332384185740882,
1760451105000,10,9.294342705550001,1.6753720311422096,
1760451110000,10,9.287935354599997,1.5572043601722085,
1760451115000,10,9.281528003650003,1.503113592441486,
1760451120000,10,9.270603161600002,1.6694490818030048,
1760451125000,10,9.257169064599985,1.6113438607798904,
1760451130000,10,9.348584677780002,1.3082419241219685,
1760451135000,10,9.343331559399996,1.4100110786584752,
1760451140000,10,9.33807844102,1.2310217480508823,
1760451145000,10,9.330198763449998,1.5302999387880025,
1760451150000,10,9.321443566149995,1.95111932635038,
1760451155000,10,9.313563888580003,1.6272696128811237,
1760451160000,10,9.309186289929997,1.324127494561619,
1760451165000,10,9.303933171550002,1.2850467289719627,
1760451170000,10,9.296053493979999,1.5678896205707118,
1760451175000,10,9.289924855869995,1.539349624783529,
1760451180000,10,9.281169658570002,1.6469676419298585,
1760451185000,10,9.275916540189998,1.4741109268472452,
1760451190000,10,9.259855884000011,1.423342822285482,
1760451195000,10,9.243734967599996,1.4419610670511898,
1760451200000,10,9.319144167669998,1.3710704142591323,
1760451205000,10,9.314049258040002,1.7106057556852485,
1760451210000,10,9.31065265162,1.7357093265447814,
1760451215000,10,9.305557741989997,1.4325279342947188,
1760451220000,10,9.3015950345,1.6245304091785968,
1760451221543,,,,proxy-mwk-inter-scheme-proxy-adapter-6bb8c754db-d55jw killed
1760451225000,10,9.296500124869999,1.6090104585679808,
1760451230000,10,9.291971316310002,1.4783894251674057,
1760451235000,10,9.288008608819998,1.64257555847569,
1760451240000,10,9.282913699189997,1.6286644951140066,
1760451245000,10,9.27838489063,1.6255498183209025,
1760451250000,10,9.274988284209998,1.4419610670511898,
1760451255000,10,9.254482245199986,1.536540862383559,
1760451260000,10,9.235674509400003,1.687010022824253,
1760451265000,10,9.211493134799996,1.6556291390728477,
1760451270000,10,9.187311760199986,1.7282765242438791,
1760451275000,10,9.176564482599995,1.3206013815522146,
1760451280000,10,9.152383107999988,1.5559545182525434,
1760451285000,10,9.12820173340001,1.9472090004327132,
1760451290000,10,9.1040203588,1.729106628242075,
1760451295000,10,9.085212622999986,1.4115571239523599,
1760451300000,10,9.06103124840001,1.4178112538768277,
1760451305000,10,9.04759715139999,1.5562472209871052,
1760451310000,10,9.023415776799983,1.474149731494156,
1760451315000,10,9.0040854902,1.6510731975784263,
1760451320000,10,9.002517837799997,1.4557453416149069,
1760451325000,10,9.000688910000001,1.3204672422549517,
1760451330000,10,8.9985987068,1.52377082486794,
1760451335000,10,8.996247228199998,1.9039086123866054,
1760451340000,10,8.993634474199999,1.8700787401574803,
1760451345000,10,8.9925893726,1.4298845878868347,
1760451350000,10,8.990237894000002,1.3726111287086897,
1760451355000,10,8.987886415399997,1.5919342000530645,
1760451360000,10,8.985796212199999,1.677521215709493,
1760451365000,10,8.9842285598,1.3966480446927374,
1760451370000,10,8.982138356600002,1.4907890533489512,
1760451375000,10,8.979786877999999,1.653696498054475,
1760451380000,10,8.978480501,1.3386880856760375,
1760451385000,10,8.975091849640002,1.3702961947928745,
1760451390000,10,8.971703198279997,1.4883720930232558,
1760451395000,10,8.968314546919999,1.5854141894569955,
1760451400000,10,8.965349476980002,1.5031566289207337,
1760451405000,10,8.962384407039995,1.3993003498250876,
1760451410000,10,8.95857217426,1.604975423813823,
1760451415000,10,8.954759941480003,1.7716535433070868,
1760451420000,10,8.951794871539995,1.6713673874438524,
1760451425000,10,8.949676964439998,1.3012361743656473,
1760451430000,10,8.945864731660002,1.3646554245053124,
1760451435000,10,8.942476080300004,1.5526532103388435,
1760451440000,10,8.939934591779997,1.481638268599852,
1760451445000,10,8.93654594042,1.4642819788725026,
1760451450000,10,8.929975860360006,1.6136687233032747,
1760451455000,10,8.923061049389995,1.7765495459928937,
1760451460000,10,8.919219487739998,1.4635166213673425,
1760451465000,10,8.912304676770006,1.3737611618094396,
1760451470000,10,8.905389865799995,1.740644038294169,
1760451475000,10,8.90001167949,1.7480607451108925,
1760451480000,10,8.893865180850003,1.4979029358897544,
1760451485000,10,8.890023619200006,1.2699032919800723,
1760451490000,10,8.883108808229995,1.483679525222552,
1760451495000,10,8.876962309590002,1.593102801986693,
1760451500000,10,8.942899661720004,1.4604225489241554,
1760451505000,10,8.940358173199996,1.2910914688648327,
1760451510000,10,8.93696952184,1.5871216415372407,
1760451515000,10,8.929975860360006,1.9189765458422174,
1760451520000,10,8.924597674049993,1.5033604527767952,
1760451525000,10,8.919219487739998,1.316655694535879,
1760451530000,10,8.912304676770006,1.6311550616780508,
1760451535000,10,8.906926490459991,1.68722977960561,
1760451540000,10,8.90001167949,1.5299292407726142,
1760451545000,10,8.894633493180002,1.614367874079306,
1760451550000,10,8.888486994539992,1.551510136532892,
1760451555000,10,8.881572183569997,1.590271281571562,
1760451560000,10,8.876962309590002,1.4858841010401187,
1760451565000,8,8.870815810950008,1.4896786550329857,
1760451570000,1,8.866205936969994,1.4598540145985404,
1760451575000,1,8.866205936969994,0.7271350441733277,
