Pod,Termination Time,Status
proxy-zmw-inter-scheme-proxy-adapter-8486bb8f64-p7l6l,1760450921267,DELETED
proxy-mwk-inter-scheme-proxy-adapter-6bb8c754db-d55jw,1760451221543,DELETED
