"Time","VUs   - sdkFxSendE2EMin 2025-10-14 17:03","Latency(p99)  - sdkFxSendE2EMin 2025-10-14 17:03","Throughput - sdkFxSendE2EMin 2025-10-14 17:03"
1760461440000,10,9.58364326682,1.0064807541241163
1760461445000,10,9.5542351784,1.5491866769945777
1760461450000,10,9.52482708998,1.8652849740932642
1760461455000,10,9.49541900156,1.8482390389157
1760461460000,10,9.475813609280001,1.413627367825841
1760461465000,10,9.452940651620002,1.2867465109373455
1760461470000,10,9.4235325632,1.7935209057280574
1760461475000,10,9.394124474780002,1.846343214688686
1760461480000,10,9.37125151712,1.4566642388929352
1760461485000,10,9.34511099408,1.4427238626526881
1760461490000,10,9.31897047104,1.6109544905356423
1760461495000,10,9.292829948000001,1.65923467800477
1760461500000,10,9.27663331448,1.5176151761517613
1760461505000,10,9.25503780312,1.4828937612541044
1760461510000,10,9.228043413920002,1.6756656116179485
1760461515000,10,9.21724565824,1.4323715981174543
1760461520000,10,9.33718408811,1.2731368132406229
1760461525000,10,9.331551816350002,1.608477623237771
1760461530000,10,9.32591954459,1.7446298113619017
1760461535000,10,9.3209913068,1.4664190047903023
1760461540000,10,9.31535903504,1.4378834355828223
1760461545000,10,9.30972676328,1.602724631874186
1760461550000,10,9.30339045755,1.805245832005947
1760461555000,10,9.29846221976,1.5362457993278924
1760461560000,10,9.29353398197,1.3458950201884252
1760461565000,10,9.27663331448,1.4817950889077052
1760461570000,10,9.26043668096,1.2409316533027872
1760461575000,10,9.279792043,1.4304689894758353
1760461580000,10,9.273924985750002,1.8484288354898335
1760461585000,10,9.26870982375,1.6027151880833412
1760461590000,10,9.2628427665,1.5593469088240692
1760461595000,10,9.258279499750001,1.7327268789257093
1760461600000,10,9.25306433775,1.5209896572703305
1760461605000,10,9.248501071,1.4285714285714286
1760461610000,10,9.241982118499998,1.6791781904385619
1760461615000,10,9.237418851749998,1.7112945439903362
1760461620000,10,9.23220368975,1.5245451773554222
1760461625000,10,9.228944213499998,1.536643026004728
1760461630000,10,9.211260073640004,1.4953643704516002
1760461635000,10,9.196927267950004,1.5013688951691249
1760461640000,10,9.180546918589997,1.544163063619518
1760461645000,10,9.168261656569996,1.373356876594075
1760461650000,10,9.14983376354,1.478269439243126
1760461655000,10,9.133453414180005,1.74412639786601
1760461660000,10,9.117073064819994,1.6204172574437916
1760461665000,10,9.106835346470005,1.2826837691169215
1760461670000,10,9.088407453439999,1.409159536990438
1760461675000,10,9.072027104080002,1.8199336259501124
1760461680000,10,9.059741842060001,1.3623978201634879
1760461685000,10,9.04745658004,1.2490892057874468
1760461690000,10,9.031076230680004,1.4971660784942786
1760461695000,10,9.014966844149997,1.4546076837511768
1760461700000,10,9.00387994756,1.5446997489862906
1760461705000,10,8.99279305097,1.6349410253415857
1760461710000,10,8.976954627269995,1.755291688177594
1760461715000,10,8.965867730679996,1.4924062856641207
1760461720000,10,8.954780834089997,1.293422025129342
1760461725000,10,8.9436939375,1.4860418214626898
1760461730000,10,8.931023198540002,1.7464198393293748
1760461735000,10,8.915184774839998,1.6949152542372883
1760461740000,10,8.904097878249999,1.6472868217054262
1760461745000,10,8.89142713929,1.514998485001515
1760461750000,10,8.88192408507,1.260806916426513
1760461755000,10,8.867669503739997,1.6404199475065617
1760461760000,10,8.86109734436,1.9876556125117688
1760461765000,10,8.85811842905,1.609238924649754
1760461770000,10,8.855565073069998,1.3243683781581093
1760461775000,10,8.851309479769997,1.548736811538089
1760461780000,10,8.84833056446,1.6358737490377213
1760461785000,10,8.844926089819998,1.5367277942833728
1760461790000,10,8.84194717451,1.4730433074732396
1760461795000,10,8.83811714054,1.5757337010045303
1760461800000,10,8.834287106569999,1.7956903431763769
1760461805000,10,8.83215930992,1.387237415774871
1760461810000,10,8.828754835279998,1.3762439127673087
1760461815000,10,8.82577591997,1.6527104451300132
1760461820000,10,8.822371445329999,1.5659254619480112
1760461825000,10,8.819122602100002,1.3560635412630764
1760461830000,10,8.81404069108,1.62937214859874
1760461835000,10,8.808958780059998,1.7196904557179706
