Pod,Termination Time,Status
vault-2,1760442871900,DELETED
oathkeeper-65cdcccc4f-9ldll,1760443112108,DELETED
keto-ddcc854b5-6zrdw,1760443352369,DELETED
mcm-connection-manager-api-d44c56dbc-h4xp6,1760443592506,DELETED
switch-keycloak-2,1760443832641,DELETED
