"Time","VUs   - sdkFxSendE2E 2025-10-14 11:49","Latency(p99)  - sdkFxSendE2E 2025-10-14 11:49","Throughput - sdkFxSendE2E 2025-10-14 11:49","SDK_E2E_STATUS_COMPLETED","TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200"
1760442580000,4,8.232163552650002,0.4916058561659553,undefined,undefined
1760442585000,6,8.229200580370001,0.7906843013225993,undefined,undefined
1760442590000,7,8.229200580370001,0.7536268890046899,undefined,undefined
1760442595000,9,8.108753447740002,1.1319201481786374,undefined,undefined
1760442600000,10,8.108753447740002,0.5333333333333333,undefined,undefined
1760442605000,10,8.0211555331,1.2610340479192939,undefined,undefined
1760442610000,10,9.30215009588,1.0679957280170878,undefined,undefined
1760442615000,10,9.90620887749,1.2099776619508562,undefined,undefined
1760442620000,10,9.85781050493,1.6203953764718593,undefined,undefined
1760442625000,10,9.815461928940001,1.538146021328958,undefined,undefined
1760442630000,10,9.76101375981,1.4672168729940396,undefined,undefined
1760442635000,10,9.724714980389999,1.546551190844417,undefined,undefined
1760442640000,10,9.67631660783,1.431200163565733,undefined,undefined
1760442645000,10,9.62791823527,1.51285930408472,undefined,undefined
1760442650000,10,9.585569659279995,1.609096760351856,undefined,undefined
1760442655000,10,9.545723497320001,1.661849710982659,undefined,undefined
1760442660000,10,9.545723497320001,1.644905931942017,undefined,undefined
1760442665000,10,9.53790000948,1.3621327106440941,undefined,undefined
1760442670000,10,9.754737410680002,1.3940469031870115,undefined,undefined
1760442675000,10,9.73619537556,1.5984015984015985,undefined,undefined
1760442680000,10,9.720302202599997,1.351632355999168,undefined,undefined
1760442685000,10,9.675271545880003,1.6885691212098966,undefined,undefined
1760442690000,10,9.675271545880003,1.4807180851063833,undefined,undefined
1760442695000,10,9.656729510759996,1.4624159110851127,undefined,undefined
1760442700000,10,9.640836337800003,0.8,undefined,undefined
1760442705000,10,9.614347716199998,1.6133911465160835,undefined,undefined
1760442710000,10,9.590507956759996,1.8276260100038475,undefined,undefined
1760442715000,10,9.556154814440003,1.738752445120626,undefined,undefined
1760442720000,10,9.548331326600003,1.4934926392148493,undefined,undefined
1760442725000,10,9.548331326600003,1.2731936725096196,undefined,undefined
1760442730000,10,9.550735811620001,1.5334810018742544,undefined,undefined
1760442735000,10,9.546817778480001,1.268805510241073,undefined,undefined
1760442740000,10,9.541780307300002,1.5487368115380893,undefined,undefined
1760442745000,10,9.53730255514,1.7930598038181629,undefined,undefined
1760442750000,10,9.533384522,1.4792899408284024,undefined,undefined
1760442755000,10,9.52834705082,1.5309539756961057,undefined,undefined
1760442760000,10,9.52442901768,1.7478697837011141,undefined,undefined
1760442765000,10,9.5193915465,1.6176321908805986,undefined,undefined
1760442770000,10,9.51491379434,1.6398186553487026,undefined,undefined
1760442775000,10,9.510436042179998,1.6523804606010535,undefined,undefined
1760442780000,10,9.506518009039999,1.4468988135429728,undefined,undefined
1760442785000,10,9.49572402794,1.5161957270847692,undefined,undefined
1760442790000,10,9.489026267359998,1.6992353440951573,undefined,undefined
1760442795000,10,9.489026267359998,1.7008610609120867,undefined,undefined
1760442800000,10,9.48158431116,1.6482610845557935,undefined,undefined
