Time,VUs   - sdkFxSendE2E 2025-10-13 13:43,Latency(p99)  - sdkFxSendE2E 2025-10-13 13:43,Throughput - sdkFxSendE2E 2025-10-13 13:43,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760363010000,5,6.15301431445,0.4381254096569806,undefined,undefined,undefined,
1760363015000,6,6.15301431445,0.26666666666666666,undefined,undefined,undefined,
1760363020000,7,7.410503295520001,0.7550018875047187,undefined,undefined,undefined,
1760363025000,9,7.4062811454399995,0.9414273281114012,undefined,undefined,undefined,
1760363030000,10,7.400651612,1.323001323001323,undefined,undefined,undefined,
1760363035000,10,7.441174645020001,1.356457707586474,undefined,undefined,undefined,
1760363040000,10,8.065772736290002,1.284246575342466,undefined,undefined,undefined,
1760363045000,10,8.182632936300001,1.4652014652014653,undefined,undefined,undefined,
1760363050000,10,8.2157354457,1.7216642754662843,undefined,undefined,undefined,
1760363055000,10,8.21476950552,1.2295469592357893,undefined,undefined,undefined,
1760363060000,10,9.27811803735,0.9854388759547441,undefined,undefined,undefined,
1760363065000,10,10.756415317860002,1.5071590052750565,undefined,undefined,undefined,
1760363070000,10,10.715080828200001,1.227495908346972,undefined,undefined,undefined,
1760363075000,10,10.659968175320003,1.409585179218687,undefined,undefined,undefined,
1760363080000,10,10.611744604049997,1.6431153466973383,undefined,undefined,undefined,
1760363085000,10,10.545202408489999,1.5683814303638646,undefined,undefined,undefined,
1760363090000,10,10.459610975130001,1.557632398753894,undefined,undefined,undefined,
1760363095000,10,10.384718470939994,1.4436958614051971,undefined,undefined,undefined,
1760363100000,10,10.299127037579995,1.451800232288037,undefined,undefined,undefined,
1760363105000,10,10.213535604219997,1.6630287911859474,undefined,undefined,undefined,
1760363110000,10,10.127944170860014,1.657344106070023,undefined,undefined,undefined,
1760363115000,10,10.053051666669992,1.5933715742511152,undefined,undefined,undefined,
1760363116410,,,,,,,moja-account-lookup-service-7994485b8-lfqvv killed
1760363120000,10,9.946062374969998,1.6136687233032747,undefined,undefined,undefined,
1760363125000,10,9.892567729119985,1.503457953292573,undefined,undefined,undefined,
1760363130000,10,9.785578437419991,1.4912019087384434,undefined,undefined,undefined,
1760363135000,10,9.689288074889989,1.7063313875168389,undefined,undefined,undefined,
1760363140000,10,9.625094499869984,1.5066291683406992,undefined,undefined,undefined,
1760363145000,10,9.550201995679993,1.3334700994973843,undefined,undefined,undefined,
1760363150000,10,9.496975863680003,1.5287367344329368,undefined,undefined,undefined,
1760363155000,10,9.470899825379997,1.9975585395627569,undefined,undefined,undefined,
1760363160000,10,9.444823787079999,1.6691704223001167,undefined,undefined,undefined,
1760363165000,10,9.42657056027,1.567831780872452,undefined,undefined,undefined,
1760363170000,10,9.416140144950003,1.2111869632239596,undefined,undefined,undefined,
1760363175000,10,9.585794198500002,1.382306477093207,undefined,undefined,undefined,
1760363180000,10,9.575817554199999,1.6096960515102736,undefined,undefined,undefined,
1760363185000,10,9.567266144799998,1.2806653924262337,undefined,undefined,undefined,
1760363190000,10,9.5530137958,1.6891891891891893,undefined,undefined,undefined,
1760363195000,10,9.541611916600003,1.5159171298635672,undefined,undefined,undefined,
1760363200000,10,9.531635272300004,1.4302059496567507,undefined,undefined,undefined,
1760363205000,10,9.520233393099998,1.5240804714488925,undefined,undefined,undefined,
1760363210000,10,9.511681983699997,1.3994402239104358,undefined,undefined,undefined,
