Time,VUs   - sdkFxSendE2E 2025-10-13 17:02,Failures  - sdkFxSendE2E 2025-10-13 17:02,Latency(p99)  - sdkFxSendE2E 2025-10-13 17:02,Throughput - sdkFxSendE2E 2025-10-13 17:02,SDK_E2E_STATUS_COMPLETED,TRANSFERS__POST_TRANSFERS_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_CONVERSION_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_PARTY_RESPONSE_IS_200,TRANSFERS__PUT_TRANSFERS_ACCEPT_QUOTE_RESPONSE_IS_200,Pod Termination
1760375265000,10,undefined,9.232444550419999,1.5081618168914122,undefined,undefined,undefined,undefined,undefined,
1760375270000,10,undefined,9.22839955256,1.2603005332040718,undefined,undefined,undefined,undefined,undefined,
1760375274544,,,,,,,,,,mojaloop-redis-follower-0 killed
1760375275000,10,undefined,9.22300622208,1.4118596208148446,undefined,undefined,undefined,undefined,undefined,
1760375280000,10,undefined,9.216938725289998,1.652249975702206,undefined,undefined,undefined,undefined,undefined,
1760375285000,10,undefined,9.212219561119998,1.5664773839827688,undefined,undefined,undefined,undefined,undefined,
1760375290000,10,undefined,9.20750039695,1.3799901429275505,undefined,undefined,undefined,undefined,undefined,
1760375295000,10,undefined,9.20210706647,1.6165535079211122,undefined,undefined,undefined,undefined,undefined,
1760375300000,10,undefined,9.19536540337,1.8452075858534083,undefined,undefined,undefined,undefined,undefined,
1760375305000,10,undefined,9.1906462392,1.6417189763399325,undefined,undefined,undefined,undefined,undefined,
1760375310000,10,undefined,9.18592707503,1.4029461869926847,undefined,undefined,undefined,undefined,undefined,
1760375315000,10,undefined,9.18053374455,1.519448946515397,undefined,undefined,undefined,undefined,undefined,
1760375320000,10,undefined,9.174346972650003,1.4231981295110299,undefined,undefined,undefined,undefined,undefined,
1760375325000,10,undefined,9.15181944984999,1.3394565633371605,undefined,undefined,undefined,undefined,undefined,
1760375330000,10,undefined,9.129291927049994,1.5789993091878023,undefined,undefined,undefined,undefined,undefined,
1760375335000,10,undefined,9.103948463900002,1.6535356482832408,undefined,undefined,undefined,undefined,undefined,
1760375340000,10,undefined,9.087052821799986,1.5611990008326393,undefined,undefined,undefined,undefined,undefined,
1760375345000,10,undefined,9.061709358650008,1.5417823003391922,undefined,undefined,undefined,undefined,undefined,
1760375350000,10,undefined,9.044813716549992,1.4438348252959863,undefined,undefined,undefined,undefined,undefined,
1760375355000,10,undefined,9.030734014800005,1.241815308195981,undefined,undefined,undefined,undefined,undefined,
1760375360000,10,undefined,9.002574611299998,1.569530187297269,undefined,undefined,undefined,undefined,undefined,
1760375365000,10,undefined,8.97723114814999,1.6993113317234596,undefined,undefined,undefined,undefined,undefined,
1760375370000,10,undefined,8.946255804299986,1.524274064476793,undefined,undefined,undefined,undefined,undefined,
1760375375000,10,undefined,8.946255804299986,1.0637429622733519,undefined,undefined,undefined,undefined,undefined,
1760375380000,10,undefined,8.918096400800012,1.3752247963609436,undefined,undefined,undefined,undefined,undefined,
1760375385000,10,undefined,8.901200758699995,0.8,undefined,undefined,undefined,undefined,undefined,
1760375390000,10,undefined,8.894838052479999,1.5487368115380893,undefined,undefined,undefined,undefined,undefined,
1760375395000,10,undefined,8.89428993334,1.436652599443297,undefined,undefined,undefined,undefined,undefined,
1760375400000,10,undefined,8.893467754629999,1.4263978699125142,undefined,undefined,undefined,undefined,undefined,
1760375405000,10,undefined,8.892736929109999,1.693227091633466,undefined,undefined,undefined,undefined,undefined,
1760375410000,10,undefined,8.89237151635,1.3855213023900244,undefined,undefined,undefined,undefined,undefined,
1760375415000,10,undefined,8.891457984449998,1.4871468026343744,undefined,undefined,undefined,undefined,undefined,
1760375420000,10,undefined,8.890635805739999,1.807630101798116,undefined,undefined,undefined,undefined,undefined,
1760375425000,10,undefined,8.88981362703,1.6411378555798688,undefined,undefined,undefined,undefined,undefined,
1760375430000,10,undefined,8.888717388749999,1.501072194424589,undefined,undefined,undefined,undefined,undefined,
